unit,mean@2021-08-30T00:00:00Z,mean@2021-09-06T00:00:00Z,mean@2021-09-13T00:00:00Z,mean@2021-09-20T00:00:00Z,mean@2021-09-27T00:00:00Z,mean@2021-10-04T00:00:00Z,mean@2021-10-11T00:00:00Z,mean@2021-10-18T00:00:00Z,mean@2021-10-25T00:00:00Z,mean@2021-11-01T00:00:00Z,mean@2021-11-08T00:00:00Z,mean@2021-08-30T00:00:00Z^2,mean@2021-09-06T00:00:00Z^2,mean@2021-09-13T00:00:00Z^2,mean@2021-09-20T00:00:00Z^2,mean@2021-09-27T00:00:00Z^2,mean@2021-10-04T00:00:00Z^2,mean@2021-10-11T00:00:00Z^2,mean@2021-10-18T00:00:00Z^2,mean@2021-10-25T00:00:00Z^2,mean@2021-11-01T00:00:00Z^2,mean@2021-11-08T00:00:00Z^2,y_gaussian,y_binomial,w,fold
d003u00029,8.523587,8.676458,8.352757,7.409168,7.066828,7.100886,6.632948,5.389917,5.13496,3.345387,2.991255,72.65153,75.280917,69.768551,54.895772,49.940065,50.422577,43.996,29.051209,26.367813,11.191614,8.947604,0.955488,1,2.485146,2
d003u00030,7.946867,8.510236,8.292561,7.095292,7.626738,7.764197,6.639884,4.444336,6.15047,3.531809,4.503959,63.1527,72.424112,68.766567,50.343167,58.167135,60.282751,44.088063,19.752121,37.828286,12.473677,20.285644,-0.089468,1,0.956535,0
d003u00031,5.604253,5.931338,6.441451,5.024459,5.918666,4.86718,3.825521,3.188536,1.450439,1.564693,-0.074196,31.407647,35.180766,41.49229,25.245192,35.030612,23.689439,14.634614,10.166763,2.103775,2.448264,0.005505,-0.276288,0,0.795165,3
d003u00032,5.123572,4.914814,5.036546,5.228943,4.954299,5.303755,4.862098,3.159889,2.288206,1.677058,0.617452,26.250985,24.155398,25.3668,27.341842,24.545079,28.129817,23.639993,9.984898,5.235885,2.812524,0.381248,-1.359253,0,2.992174,4
d003u00033,6.702689,6.752882,5.652321,5.173606,6.370735,7.020009,4.965894,3.694197,4.212224,2.744496,1.461925,44.926039,45.60141,31.948732,26.766196,40.586264,49.280531,24.660106,13.647094,17.742834,7.53226,2.137225,-0.761722,0,2.693043,2
d003u00034,7.736286,7.976396,7.497857,7.65452,6.737922,5.897351,5.52971,5.267982,3.869018,2.827615,3.703491,59.850113,63.6229,56.217853,58.59167,45.399595,34.778743,30.577689,27.751631,14.969296,7.995405,13.715845,0.095928,0,1.107238,3
d003u00035,10.195346,9.764673,9.747109,9.835985,9.416661,8.42281,8.281542,6.846043,5.589324,5.473278,5.921815,103.945083,95.348834,95.006142,96.746602,88.673511,70.943737,68.583938,46.868307,31.240538,29.956774,35.067897,0.515879,1,1.675588,0
d003u00036,7.989649,8.539125,9.119831,8.145807,8.064208,6.299877,7.193211,6.896984,5.439401,3.922778,3.557004,63.834497,72.916649,83.171315,66.354174,65.031455,39.688447,51.742279,47.568389,29.587082,15.388185,12.652278,-0.894162,0,1.971303,4
d003u00037,8.661465,8.374131,8.783773,9.490429,6.196029,5.960761,4.466436,4.902847,5.479282,3.773435,2.793084,75.020981,70.126065,77.15467,90.068252,38.390773,35.530677,19.949048,24.037913,30.022536,14.238809,7.801316,1.234924,1,1.298106,2
d003u00038,9.042201,9.255066,9.450011,8.780931,8.355977,7.737246,6.797675,6.720831,4.87176,6.097359,5.248222,81.761401,85.656239,89.302704,77.104755,69.822355,59.864976,46.208391,45.169566,23.73405,37.177784,27.54383,0.754072,1,1.290588,2
d003u00039,6.296217,8.587057,6.691442,6.933602,7.402945,6.469141,5.534552,4.07164,3.998332,2.098518,2.003962,39.642349,73.737547,44.775401,48.074832,54.803587,41.84979,30.631267,16.57825,15.986656,4.403777,4.015863,1.092001,1,0.478985,0
d003u00040,10.135186,8.683655,8.753294,8.202992,8.02038,8.073623,6.240338,6.157137,5.752978,3.861706,5.362769,102.721996,75.405857,76.620157,67.289072,64.326494,65.183385,38.941823,37.910334,33.096755,14.912772,28.759292,-0.760623,0,1.247198,0
d003u00041,7.805853,7.790268,8.15096,6.907899,6.6314,5.687864,5.939732,4.994265,4.56584,3.790727,1.633447,60.931345,60.688282,66.438155,47.719073,43.975463,32.351795,35.280411,24.942681,20.846892,14.369611,2.668151,0.120081,0,2.970499,2
d003u00042,7.448127,6.724113,7.974774,8.548232,6.645512,5.322339,7.101893,4.818737,3.286853,2.765525,1.778638,55.474603,45.213692,63.597017,73.072265,44.162834,28.327289,50.436881,23.220228,10.803406,7.648129,3.163554,0.24611,0,2.319699,3
d003u00043,7.887587,7.907326,9.16397,7.492302,7.267216,7.103099,5.994934,3.347748,3.296987,4.435955,2.641204,62.214034,62.525802,83.978341,56.134596,52.812424,50.454012,35.93923,11.207415,10.870122,19.677692,6.975959,0.566415,0,1.356399,2
d003u00044,8.698817,9.393253,8.67506,7.645667,7.292415,7.433697,5.480182,4.703783,4.953014,4.460323,2.712179,75.66941,88.233208,75.256674,58.456229,53.179316,55.259847,30.0324,22.125578,24.532348,19.89448,7.355916,2.327219,1,2.667651,4
d003u00045,7.348905,7.976465,8.795237,7.898946,6.880103,6.162093,6.081249,4.775956,4.830191,4.629402,4.643916,54.006399,63.623997,77.356195,62.393351,47.335822,37.971391,36.981594,22.809756,23.330748,21.431367,21.565952,-0.106143,1,2.537981,0
d003u00046,9.499713,8.306984,8.83158,8.514435,8.842869,7.175578,7.811061,5.423154,5.120632,4.20165,4.351683,90.244552,69.005981,77.996808,72.495608,78.196336,51.488927,61.012669,29.410602,26.220868,17.653862,18.937148,0.022875,0,1.50271,3
d003u00047,8.924231,9.042433,9.108037,8.394598,7.821152,6.119488,6.874049,5.916698,6.201192,5.677834,5.740979,79.641907,81.765592,82.95634,70.46927,61.170416,37.448131,47.252549,35.007311,38.454787,32.237802,32.95884,0.075363,0,0.982378,4
d003u00048,8.594945,7.832578,8.117585,6.878948,7.038284,6.647292,6.873495,6.396729,5.880968,5.451485,4.76258,73.873076,61.349271,65.895193,47.319921,49.537435,44.18649,47.244938,40.918138,34.585783,29.718687,22.682169,-0.776465,0,1.566634,3
d003u00049,6.145984,6.644629,6.766619,5.618979,7.102581,7.263093,5.816983,3.568878,3.337951,3.400731,0.920961,37.773123,44.1511,45.787127,31.572928,50.446659,52.752522,33.837289,12.736891,11.141918,11.564971,0.848169,-0.343583,0,0.657851,1
d003u00050,5.686497,5.435499,5.056379,5.359456,4.680253,4.217991,4.822103,4.461123,3.254433,1.750762,1.235815,32.336251,29.544653,25.566972,28.723772,21.90477,17.791449,23.252678,19.90162,10.591331,3.065166,1.527239,-1.830035,0,0.411483,3
d003u00051,8.385343,9.209581,8.891813,8.513756,7.907464,6.549844,5.937448,6.010611,4.792311,4.791541,4.817491,70.313971,84.816377,79.064339,72.484047,62.52798,42.900457,35.253293,36.127448,22.966247,22.958868,23.208224,0.607215,0,1.586112,4
d003u00052,6.364718,6.084456,7.458995,6.201399,6.293136,5.906428,5.40341,4.388408,4.209997,2.072811,1.291301,40.509638,37.020602,55.636602,38.457352,39.603555,34.885886,29.196842,19.258121,17.724075,4.296547,1.667459,-1.446355,0,0.32087,1
d003u00053,8.824712,9.060568,9.647026,7.873684,7.587419,7.121306,6.489393,5.307066,4.74417,3.903289,5.035998,77.875534,82.093901,93.065116,61.994894,57.568934,50.712996,42.112224,28.164948,22.507148,15.235665,25.361275,1.638027,0,1.295786,3
d003u00054,11.050825,10.834371,9.932491,9.873134,9.650564,8.667071,8.979681,7.070938,5.635891,5.136201,4.471766,122.120744,117.383586,98.654369,97.478779,93.133379,75.118127,80.634671,49.998162,31.763271,26.380557,19.996687,0.711219,0,0.985372,4
d003u00055,6.834367,4.589509,5.001206,7.081221,4.567368,4.14162,4.090151,4.220539,3.355438,2.867214,2.098117,46.708575,21.063595,25.012061,50.143684,20.860855,17.153015,16.729334,17.81295,11.258963,8.220914,4.402095,-3.895168,0,2.475087,1
d003u00056,8.279088,8.772693,7.379861,6.857169,7.45987,6.60792,5.799923,3.779342,3.893005,2.398278,2.076655,68.543297,76.960138,54.462345,47.02077,55.649665,43.664608,33.639106,14.283424,15.155492,5.751736,4.312496,1.390553,0,1.344475,2
d003u00057,8.541328,8.001016,6.797914,6.293511,6.226759,5.494571,4.213375,4.575686,2.694904,3.23515,2.092121,72.954285,64.016262,46.211629,39.608283,38.772533,30.190316,17.752533,20.936901,7.262507,10.466194,4.376968,1.880886,1,1.981244,1
d003u00058,7.452195,7.731112,7.20823,6.941859,6.690193,6.481421,4.933435,3.861965,4.085216,3.493016,2.45989,55.535207,59.770095,51.958579,48.18941,44.758676,42.008824,24.338781,14.91477,16.688991,12.201162,6.05106,1.212626,1,2.378394,3
d003u00059,8.961334,8.534679,7.234259,8.471215,8.101914,5.470827,6.00003,4.990548,3.640054,3.293066,3.220862,80.305511,72.840753,52.33451,71.761487,65.641013,29.929953,36.000366,24.905571,13.249994,10.844282,10.373953,0.174523,0,0.832917,1
d003u00060,8.122903,7.663443,8.585567,7.665726,7.791148,6.595151,6.126286,5.2151,4.014393,4.465653,4.136195,65.981548,58.728355,73.711957,58.76336,60.701985,43.496015,37.531375,27.197271,16.115351,19.942057,17.108105,-0.209952,0,0.672456,0
d003u00061,8.564018,7.4098,7.612264,7.043262,5.854538,6.036672,6.275402,5.703409,3.463153,3.209576,2.073133,73.342405,54.905134,57.946563,49.607539,34.27561,36.441407,39.380667,32.528877,11.993428,10.301376,4.29788,1.063868,1,1.447538,1
d003u00062,6.749609,7.465922,7.639262,8.611038,7.465866,6.102907,5.938697,4.797938,5.263884,4.642663,3.934913,45.557227,55.739993,58.358329,74.149974,55.739155,37.24548,35.268117,23.020212,27.70848,21.554318,15.483536,0.312988,0,0.312262,1
d003u00063,9.785155,9.928591,9.862645,10.231097,9.511841,8.592946,9.003597,7.909092,6.052131,5.440627,4.639326,95.749255,98.576928,97.271775,104.675345,90.475118,73.838729,81.06475,62.553734,36.628292,29.600418,21.52335,0.519964,0,0.976474,0
d003u00064,7.152765,6.489556,6.201851,5.777975,6.08112,4.967986,4.640006,5.082316,3.392025,2.469448,2.578293,51.162052,42.114343,38.462961,33.384996,36.980016,24.680883,21.529654,25.829938,11.505835,6.098173,6.647592,-1.204244,0,1.839955,0
d003u00065,7.139508,7.726277,6.947368,7.649992,6.252505,6.770214,5.638602,3.798232,3.904375,3.023932,2.616877,50.972569,59.695359,48.265924,58.522382,39.09382,45.835794,31.793832,14.426569,15.244144,9.144165,6.848046,0.435264,0,2.624004,2
d003u00066,7.530916,9.490188,8.046639,7.507121,8.061738,6.25431,5.863758,4.572881,4.693683,3.541322,2.630025,56.714701,90.063659,64.748393,56.356871,64.991622,39.116391,34.383657,20.91124,22.030656,12.540963,6.917033,2.515117,1,1.407875,4
d003u00067,8.362377,7.745991,8.05929,7.30381,9.855315,7.284123,5.42246,4.816726,4.522126,4.309349,3.992135,69.929357,60.000379,64.952155,53.345633,97.127235,53.058454,29.403069,23.200848,20.449626,18.57049,15.937143,-1.688917,0,2.575495,3
d003u00068,5.931325,6.170938,6.195381,5.467953,4.858401,4.463125,4.893652,3.61987,2.903133,1.664944,1.72071,35.180618,38.080478,38.382747,29.898514,23.604057,19.919489,23.947827,13.103462,8.428183,2.772037,2.960842,-0.163056,0,2.033535,1
d003u00069,9.4366,8.058295,8.12569,9.612405,8.076362,7.510625,6.984371,7.471525,6.178176,4.718962,3.960632,89.049428,64.936114,66.026835,92.398332,65.227621,56.409493,48.781432,55.823681,38.169862,22.268598,15.68661,-1.587742,0,2.814441,1
d003u00070,9.851781,9.355131,7.923944,8.095034,8.116708,8.512836,6.916968,6.620368,6.814248,3.987037,3.507918,97.057599,87.51847,62.788889,65.52957,65.880954,72.468372,47.844441,43.829275,46.433979,15.89646,12.30549,0.656537,1,0.324678,4
d003u00071,8.519686,8.377305,8.75475,8.715493,8.73319,7.836232,7.696139,5.054511,4.09243,4.711383,3.716359,72.585045,70.179234,76.645651,75.959811,76.268615,61.406533,59.230549,25.548082,16.747987,22.197129,13.811327,-1.089709,0,2.283038,4
d003u00072,7.761051,6.518123,6.927397,6.948627,7.001872,5.434284,5.893859,4.081624,3.288527,2.854649,2.56568,60.233909,42.485933,47.988823,48.283415,49.026207,29.531441,34.737575,16.659658,10.81441,8.149021,6.582715,-0.256099,0,2.740759,0
d003u00073,7.883495,7.255101,8.516431,8.794063,8.048581,6.978138,7.868631,4.865693,4.18,3.400508,3.267147,62.1495,52.636484,72.529595,77.335535,64.779655,48.694407,61.915352,23.674972,17.472401,11.563455,10.674252,-0.589954,0,2.705433,4
d003u00074,9.055367,8.571813,8.168017,8.40087,9.414327,6.88695,7.142387,5.678567,5.441499,4.660219,4.138447,81.999672,73.475972,66.716495,70.574622,88.629549,47.430083,51.013698,32.246128,29.609909,21.717641,17.126742,-1.143996,1,0.580704,3
d003u00075,5.455655,6.185323,6.384079,5.672952,4.800897,5.112974,4.759701,3.219088,1.658646,1.839256,1.923106,29.764169,38.258218,40.756462,32.182383,23.048612,26.142505,22.654752,10.362527,2.751107,3.382862,3.698337,0.206535,0,1.048732,4
d003u00076,8.671542,7.482427,8.005569,7.354365,7.127032,6.768947,4.721762,4.198532,3.134265,3.131682,3.316106,75.195642,55.986712,64.089139,54.086682,50.794579,45.818648,22.295037,17.627671,9.823618,9.80743,10.996562,1.045825,0,2.675789,2
d003u00077,6.785583,6.363562,7.84571,6.311469,5.886587,5.598648,4.07879,4.22137,3.801195,2.338986,3.407822,46.044138,40.494921,61.555168,39.834636,34.651905,31.344857,16.636528,17.819965,14.449086,5.470857,11.613248,-0.265076,0,2.712617,2
d003u00078,6.463038,5.58334,5.511011,5.553956,4.403195,4.637103,3.866616,2.492756,2.429375,2.096171,2.106045,41.770867,31.17369,30.371244,30.846424,19.388129,21.502722,14.950722,6.213832,5.901865,4.393932,4.435426,-1.080783,0,2.977207,2
d003u00079,8.100815,8.579503,9.749995,9.407306,8.269788,6.226614,6.210841,4.963436,5.083554,5.522616,4.321199,65.623198,73.607875,95.062401,88.497406,68.389392,38.770728,38.574545,24.635702,25.842517,30.499286,18.672759,0.041,0,2.57253,0
d003u00080,5.632261,6.320761,6.788868,5.303489,5.476986,5.624499,4.462081,4.578365,3.493201,2.230378,2.606544,31.722363,39.952022,46.088729,28.126995,29.997377,31.634993,19.910168,20.961424,12.202455,4.974587,6.794072,0.051194,0,1.657054,0
