case,point,lambda,a0,objective,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22
gaussian_a10_flat,96,9.54126760684e-05,-7.91526255968,0.12778533387,-1.05682508929,0.98143779653,1.47995019748,-0.353796916046,0.419007986925,0.843575685647,-0.188211493734,-0.365517036523,-0.108229990907,-0.39337395747,-0.0211487126908,0.0597688097943,0.0098349820757,-0.077336200811,0.0263353664931,-0.0480839784225,-0.0675775163096,-0.000697816621638,0.0139461831883,-0.0146446567948,0.0371018855448,-0.0138041759704
gaussian_a10_weighted,2,0.641812575386,-0.424371957408,0.683790008095,0,0.0511917398315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gaussian_a10_weighted,12,0.253144104886,-3.01373578687,0.540521313239,0,0.415294475271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00917051978315,0,0,0
gaussian_a10_weighted,22,0.0998452512402,-4.61200634717,0.350875508528,0,0.887103551575,0.0174928074004,0,0,0,-0.116400281679,0,-0.0413622435471,-0.122121360378,-0.0589438095125,0,0,0,0,-0.00567012558364,0,0,-0.0192031715284,-0.00925375976623,0,0
gaussian_a10_weighted,32,0.0393810244948,-5.51817072347,0.236003446282,-0.0670845926283,1.06819800123,0.240634361579,0,0,0,-0.166150390026,0,-0.205599020533,-0.208242466664,-0.0979705904219,0,0,0,0,-0.0137470837721,0,0,-0.0209794508745,0,0,0
gaussian_a10_weighted,42,0.0155326875439,-5.65376658963,0.180754342022,-0.11783064495,1.14901265342,0.331807919718,0,0,0,-0.184768858144,-0.0906477247526,-0.238938286964,-0.242925693027,-0.108177978972,0,0,0,0,-0.0167457892041,0,0,-0.0127580772,0,0,0
gaussian_a10_weighted,52,0.006126412033,-5.67774857577,0.156489389422,-0.136925037505,1.18380426078,0.367316845946,0,0,0,-0.190512191436,-0.144989823379,-0.250900803571,-0.256586851958,-0.111742945008,0,0,0,0,-0.0177573182646,-0.000727372506618,0,-0.00785889337275,0,0,0
gaussian_a10_weighted,62,0.00241638314632,-7.49958924824,0.139806110431,-0.455550078653,1.18891168336,0.488029853335,0,0,0.909760980632,-0.190509862236,-0.22175529998,-0.264199203474,-0.258306814561,-0.153198151346,0.0209673581394,0,-0.0092783044493,0.0014736703575,-0.0188048903774,-0.0715595579676,0,0,0,0,0.00806554915705
gaussian_a10_weighted,72,0.000953071304763,-8.31179007138,0.127859520144,-0.923552109254,1.16531193954,0.990035782038,-0.041863966241,0.0646195892481,1.52963180025,-0.49545937454,-0.228725777563,-0.265556073104,-0.389264413498,-0.155745727323,0.0520561618414,0,-0.0433841397482,0.00532092442847,-0.0239399558536,-0.119949348902,0.0243204553545,0,0,0.0224519628819,0.00859627080329
gaussian_a10_weighted,82,0.000375910961532,-8.41699919897,0.122803643893,-1.13117999106,1.12462919828,1.21820439828,-0.156855358688,0.232757182653,1.69270247755,-0.657377474386,-0.232437736307,-0.180866804991,-0.454107664605,-0.15402490329,0.0658536989507,0.00167569626586,-0.0590107697604,0.0131368411262,-0.0353116495896,-0.133213067779,0.0371751895342,0,-0.0098507317932,0.0337600303448,0.00862745729072
gaussian_a10_weighted,92,0.000148267029228,-8.50484636169,0.120805113405,-1.17649789055,1.02238823356,1.37841527578,-0.233992582119,0.305889631975,1.77654719334,-0.703612461111,-0.277291558656,-0.125923874433,-0.469080824581,-0.160073164981,0.0689939043052,0.00784602625609,-0.0695949953186,0.0182791113041,-0.0401990934866,-0.140102057676,0.0408162943189,0.00419991445169,-0.016315742994,0.0366905825612,0.00987995447212
gaussian_a10_weighted,97,9.3116015477e-05,-8.5270322174,0.12033146607,-1.1880731851,0.997427482618,1.41842354463,-0.251467930802,0.324697687756,1.79617114678,-0.714774156338,-0.292403294675,-0.110802622181,-0.472144107158,-0.16189483371,0.0697910191667,0.00935755723815,-0.0722383518905,0.0194424300553,-0.0414507800232,-0.141740562486,0.0416967344256,0.00562529966896,-0.0180895388953,0.037326767828,0.0102479711731
gaussian_a05_flat,2,1.19843882591,-0.216281623527,0.60114167006,0,0.0311918238624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gaussian_a05_flat,12,0.472688967902,-1.95224582652,0.485144885825,0,0.192354569602,0,0,0,0,0,0,0,0,0,0,0.00737551477448,0,0,0,0,0,0,0,0,0
gaussian_a05_flat,22,0.186438269143,-2.93631763352,0.322496140042,0,0.443796921572,0.0124972153985,0,0,0,-0.0593781647059,-0.0623057169006,-0.0251449934569,-0.0283141075107,-0.054176860962,0,0.0182325617602,0,0,-0.0026830715452,0,-0.00537329712271,-0.00949188599677,-0.00630267075951,0,-0.00136507296543
gaussian_a05_flat,32,0.0735350950864,-4.24760853333,0.222349070579,-0.0296291951765,0.625086008929,0.202466613206,0,0,0,-0.0676966575028,-0.0944030896703,-0.0915301665479,-0.103138132871,-0.084597339899,-0.00137599460224,0.0221943141883,0,0,-0.0109501866854,0,-0.00876467161605,-0.0112776999781,-0.0078847353189,0,-0.00378392484584
gaussian_a05_flat,42,0.0290037567621,-4.95877503916,0.177398740189,-0.0999472241635,0.798141651077,0.295320374867,0,0,0,-0.0492543923823,-0.112495632681,-0.159660853595,-0.139513990824,-0.0846217495111,-0.000357605357481,0.0185300383489,0,0,-0.0148724900106,0,-0.011549080852,-0.0108994229361,-0.0041821881995,0,-0.00563940621071
gaussian_a05_flat,52,0.0114396793168,-5.61507904523,0.156826081717,-0.12941645722,1.0005597074,0.328820403727,0,0,0,-0.035263514775,-0.150558247259,-0.211701192666,-0.155379746177,-0.0831591606596,0,0.00883316283227,0,0,-0.0165953963485,-0.000320923832986,-0.0127683934093,-0.00774754713324,0,0,-0.00613746022809
gaussian_a05_flat,62,0.00451204524792,-6.85158494932,0.145362119688,-0.141408795496,1.10988480079,0.507943957153,0,0,0.199103126346,-0.0915400541909,-0.228989280411,-0.221219786501,-0.166390170684,-0.11596288817,0,0.00303439776301,-0.0121928273201,0.00186078839628,-0.0178413513458,-0.0157853616023,-0.00813083888925,0,0,0,0
gaussian_a05_flat,72,0.00177964362073,-7.70394981132,0.135819504687,-0.519454991086,1.08783528595,0.88413419722,-0.0626486385196,0.179687029607,0.540126168366,-0.180523234609,-0.223818552841,-0.229440568581,-0.306523997675,-0.0811172054211,0.0246686868766,0.00371170348258,-0.0376532589195,0.00687285403895,-0.0308884834072,-0.0423338126326,-0.00117375308108,0,0,0.0214054645475,-0.00552631939693
gaussian_a05_flat,82,0.000701928115252,-7.85142517826,0.13066334478,-0.813940532306,1.0362607286,1.19226964861,-0.237226965006,0.32235410516,0.733036505858,-0.188575715145,-0.268144430186,-0.188908931236,-0.369943914813,-0.0420577537546,0.0439616893058,0.00658967315433,-0.058213520471,0.0185515333113,-0.0410909265085,-0.0580558491363,-0.000610391749501,0.0044831702048,-0.00516476061989,0.0321314884496,-0.0112059652931
gaussian_a05_flat,92,0.000276854912547,-7.89135255696,0.128508282964,-0.971668100983,0.995541851153,1.38292183001,-0.324870774185,0.393303680293,0.812581958388,-0.186367218418,-0.335849412018,-0.134753322553,-0.388304187862,-0.0271599276893,0.0542658288942,0.00902724668196,-0.0709077541395,0.0243876889731,-0.0461886344434,-0.0648677607083,-0.000833015960774,0.0110721272846,-0.0115459105151,0.035775167865,-0.0130699783337
gaussian_a05_flat,100,0.000131528513196,-7.90168551851,0.127781041967,-1.03129689932,0.97604225012,1.4604027628,-0.360292948362,0.419372553655,0.840559155063,-0.183782768612,-0.362104787548,-0.113242119625,-0.393466628036,-0.0217206909493,0.0581540055425,0.0102110115656,-0.0760453211793,0.0267446660946,-0.0480682610521,-0.0672913203151,-0.00105908977756,0.0136233413414,-0.0140783531545,0.0369263354742,-0.0137302301331
gaussian_a05_weighted,2,1.28362515077,-0.28407323084,0.686775396292,0,0.0329436202525,0,0,0,0,0,0,0,0,0,0,1.91319111066e-05,0,0,0,0,0,0,0,0,0
gaussian_a05_weighted,12,0.506288209772,-2.10752810843,0.537815128145,0,0.212794165791,0,0,0,0,0,0,0,0,0,0,0.00869282752508,0,0,0,0,0,-0.00413321231412,0,0,0
gaussian_a05_weighted,22,0.19969050248,-3.26608306506,0.350406791989,0,0.465639427026,0.0620765899428,0,0,0,-0.0554609692026,-0.0412631750677,-0.0354164610424,-0.0881112468424,-0.0633443918696,0,0.0195876925175,0,0,-0.0031109416143,0,-0.00513200619562,-0.0144278835542,-0.00769365428428,-0.00103377000336,0
gaussian_a05_weighted,32,0.0787620489895,-4.36967977055,0.238764384582,-0.0430188413841,0.651681847541,0.251449486927,0,0,0,-0.0852082973018,-0.064225645794,-0.115910751974,-0.182572677132,-0.107625062853,0,0.0224504246273,0,0,-0.0116029460282,0,-0.0069470615726,-0.0152406679476,-0.00861924907788,-0.00125184286349,0
gaussian_a05_weighted,42,0.0310653750878,-4.95493138744,0.186531120077,-0.102338506847,0.852272540558,0.340367086194,0,0,0,-0.113363652758,-0.0784029961723,-0.202221019339,-0.235671054203,-0.115937214724,0,0.0167472781118,0,0,-0.0155301281782,0,-0.00608746809161,-0.0143495677835,-0.0030558958801,0,0
gaussian_a05_weighted,52,0.012252824066,-5.54717478711,0.161369552303,-0.129876211266,1.10804436248,0.369260710858,0,0,0,-0.178189480523,-0.115498248897,-0.245353706122,-0.251608139239,-0.115273696098,0,0.00349440390768,0,0,-0.0173486934784,-0.000327931299773,-0.00104325248538,-0.0109095820311,0,0,0
gaussian_a05_weighted,62,0.00483276629264,-7.04101518048,0.144801516651,-0.215143201285,1.18313227859,0.434739777423,0,0,0.537525155237,-0.190088398212,-0.222511642111,-0.257212115857,-0.261758594781,-0.159604365848,0.00541017305037,0,-0.00499207031276,0.000820733431705,-0.0184815953808,-0.0422065845245,0,-0.000188203744727,0,0,0.00853634856071
gaussian_a05_weighted,72,0.00190614260953,-7.76222321567,0.131449226482,-0.677801734234,1.1713177417,0.847443355448,-0.115178740118,0.116775699927,1.10330676212,-0.374933564374,-0.231485976817,-0.263418030454,-0.332514109421,-0.166945651707,0.0358241207835,0,-0.0334683308625,0.00974020147072,-0.0270425127132,-0.0869452257469,0.0146439587866,0,0,0.0134152201938,0.0104536849072
gaussian_a05_weighted,82,0.000751821923065,-8.15970366753,0.124450925003,-0.969339264094,1.11560895127,1.13454070362,-0.19965590524,0.24665780246,1.48097386254,-0.578248035669,-0.233593738871,-0.210129155536,-0.414741808312,-0.160385199315,0.0551794021333,0.00257022095798,-0.0531463635632,0.0157466694307,-0.0360268198807,-0.116747195038,0.0308332591138,0,-0.00643065587843,0.0274635756161,0.00973317107179
gaussian_a05_weighted,92,0.000296534058457,-8.37953430193,0.12148203269,-1.10951728376,1.03705709645,1.32086695393,-0.246256516133,0.308771833471,1.67997399741,-0.671169726017,-0.26441472898,-0.146683671063,-0.453965677871,-0.161160032653,0.0645548511284,0.00706401016923,-0.0656915101339,0.0190031151994,-0.0403108261647,-0.132533870339,0.038218043014,0.00291781486731,-0.0138930177917,0.0341919243916,0.0100538648351
gaussian_a05_weighted,100,0.000140877701833,-8.47197757356,0.12045989884,-1.16105631941,0.998158799886,1.40265821183,-0.262711025741,0.333820616198,1.75563943649,-0.703921638916,-0.291547433599,-0.115562808618,-0.466159550362,-0.162971170973,0.0680063779284,0.00935818403048,-0.071156814804,0.0201467943901,-0.0420181619269,-0.138605544855,0.0408228872285,0.00551155898551,-0.0175366267251,0.0363803038927,0.0104471984709
gaussian_a00_flat,2,599.219412955,-0.00541533591583,0.604227013755,0.000315758816266,0.000987168953127,0.000597038761883,0.000252292187245,0.000282493103967,0.00041640634475,4.74832990664e-05,-1.67783032021e-07,0.000159959009399,0.000179501874571,9.56509408597e-05,1.95107941416e-05,6.16236464489e-05,3.59404663835e-05,1.56162965458e-05,1.59067741166e-05,2.86247957907e-05,3.73008741793e-06,-2.42670295564e-06,1.59120784183e-05,2.35530865729e-05,1.40830539233e-05
gaussian_a00_flat,12,236.344483951,-0.0554006296675,0.601174527396,0.00076946974306,0.00246923413041,0.00147991191551,0.000609017789589,0.000685304071372,0.00102132955574,9.22422718695e-05,-2.93642388358e-05,0.000375263960519,0.000421915506586,0.000218188046957,4.74950059982e-05,0.000154079354989,8.89162584952e-05,3.75585518069e-05,3.81923707184e-05,6.99370299742e-05,7.23979895165e-06,-8.84855233283e-06,3.69269823908e-05,5.53395581309e-05,3.19205533557e-05
gaussian_a00_flat,22,93.2191345714,-0.167666755611,0.5941872878,0.0017767232615,0.00606987234433,0.00356209864765,0.00137321197443,0.00156438059478,0.00239640732544,7.79626748615e-05,-0.000234154208917,0.000782907766442,0.000885072373901,0.000417943250563,0.000109374818777,0.000378409146387,0.000213043457449,8.38840300622e-05,8.48773708519e-05,0.000162532758503,6.0728928178e-06,-3.73008310157e-05,7.46347285466e-05,0.000115975705754,5.98949793948e-05
gaussian_a00_flat,32,36.7675475432,-0.386781697002,0.579660653814,0.00367940971691,0.0144563727764,0.00812174433396,0.00268114035032,0.00314693261482,0.00515750413783,-0.000518840633521,-0.00132003758959,0.00120094590311,0.00138506148505,0.000431496903597,0.000225022295647,0.000899550559783,0.00048096055786,0.000159638626395,0.000158763190435,0.000341892208363,-4.10534967624e-05,-0.000162033998941,0.00010109484723,0.000181064953852,5.43107152918e-05
gaussian_a00_flat,42,14.5018783811,-0.732449118668,0.552201732685,0.00638866588192,0.033015722328,0.0172552365222,0.00403822798323,0.00507050892963,0.00976904321413,-0.00364295258781,-0.00562929672213,0.000397724115404,0.000612898283401,-0.00101386597781,0.000384648609234,0.002048078138,0.00100358944478,0.000222804934166,0.000203740964615,0.000615415143728,-0.00028749750989,-0.000621177347692,-3.90928021613e-05,7.98773757442e-05,-0.000188050714125
gaussian_a00_flat,52,5.71983965838,-1.18823759663,0.502237001755,0.00882786073331,0.0721559224473,0.0346047853477,0.00398647572737,0.00567254867931,0.0162286500615,-0.0134138009638,-0.0177878600853,-0.00456840261716,-0.00453243317917,-0.00687291067265,0.000512335680145,0.00445834218617,0.00196225917352,0.000159620105794,3.72376681653e-05,0.00092132858814,-0.00105866891568,-0.00188508729605,-0.000704525527318,-0.000578298689232,-0.00112947045371
gaussian_a00_flat,62,2.25602262396,-1.77206331076,0.419402151534,0.0083928843563,0.147353266236,0.065646734953,0.00131459976236,0.00155843271782,0.0238087328055,-0.0338314893124,-0.0414026273531,-0.0171599959566,-0.0173865558056,-0.0205451104795,0.000436361012478,0.00905795899119,0.00361033997332,-0.000126887017248,-0.000696621638102,0.00108999930621,-0.00267685821032,-0.00434162758517,-0.00229098349274,-0.00214428457583,-0.00326584640933
gaussian_a00_flat,72,0.889821810365,-2.4833387844,0.315844243921,-0.000367172598108,0.264646540984,0.111462277852,-0.00278119899746,-0.011852931041,0.0300407735424,-0.0617786759732,-0.0711166264286,-0.038419999737,-0.0377140858404,-0.0410686926582,-0.000171683765856,0.0161071908877,0.00584438615108,-0.000538344167897,-0.0024815374712,0.000747490763653,-0.00494432650669,-0.00750176235325,-0.00478273416698,-0.00435676277785,-0.00631307624169
gaussian_a00_flat,82,0.350964057626,-3.19316922116,0.230505569393,-0.0209867459767,0.399260147853,0.161543022033,-0.00403935322938,-0.0319328309983,0.0356092572777,-0.0843066026517,-0.0934854808995,-0.0653133327856,-0.0607634407697,-0.0596122055517,-0.00145738631353,0.0236961210281,0.00759376384455,-0.00070793646605,-0.00539781758337,-0.000436117399404,-0.00703329329295,-0.0100283586015,-0.00740583365457,-0.0063347384636,-0.00867262400475
gaussian_a00_flat,92,0.138427456273,-3.83479651499,0.182891495781,-0.0468837876306,0.516050590705,0.209571529926,-0.00109728446811,-0.041378514365,0.0515555980722,-0.0917011291866,-0.103292272996,-0.0945843063764,-0.0832945287562,-0.0705516692508,-0.00278939881387,0.0287745546802,0.00744765749798,-0.000379313401707,-0.00892686797657,-0.00260562350373,-0.00858280934703,-0.0112717796691,-0.00890531541111,-0.00732682411854,-0.00913059929639
gaussian_a00_flat,100,0.0657642565978,-4.38511678294,0.164108317778,-0.0677244688801,0.593661108759,0.256785333749,-0.000370709784098,-0.0281055720679,0.0829842503275,-0.0869575752146,-0.10691072521,-0.121980601771,-0.10321289342,-0.0773380886889,-0.00320607875833,0.0299069729814,0.00529421681827,0.000266802236201,-0.0121991286092,-0.00552956786591,-0.00966303054622,-0.0114622828308,-0.0084572571912,-0.0067602465238,-0.00827548251066
gaussian_a00_weighted,2,641.812575386,-0.0619026396654,0.690721650328,0.000353637822983,0.00104809321956,0.000680843729811,0.000157881031648,0.000285713308105,0.000504519996094,-1.05716948752e-06,-8.09697142988e-05,0.000126031886097,0.000145062691974,6.78171568598e-05,2.1934639052e-05,6.67275066912e-05,4.14130119229e-05,8.86849399941e-06,1.46182193865e-05,3.4591416325e-05,-8.18570023197e-07,-1.32737270903e-05,1.04510146538e-05,1.9145253815e-05,1.13118337555e-05
gaussian_a00_weighted,12,253.144104886,-0.111733887428,0.687293525415,0.00086466704069,0.00262445956171,0.00169357435253,0.000372054431273,0.000694295373738,0.00124417495841,-2.76651665944e-05,-0.00023157759343,0.000289234892625,0.000335223477298,0.000148298180679,5.35654462396e-05,0.000167034820194,0.000102841959062,2.06163000486e-05,3.49908110809e-05,8.50067847367e-05,-4.05261772642e-06,-3.60916077586e-05,2.30683278817e-05,4.4224482341e-05,2.49881133532e-05
gaussian_a00_weighted,22,99.8452512402,-0.224181496791,0.679290267689,0.00201274476643,0.00646651997583,0.00410943081784,0.00078610053835,0.00159121385347,0.00295699642556,-0.000208240023413,-0.000731511009213,0.000564724015471,0.000668436670321,0.000244233064709,0.000124309351695,0.000411263842828,0.000248570106889,4.18779852458e-05,7.70918809099e-05,0.000200319987856,-2.119718784e-05,-0.000104858351861,3.94435600234e-05,8.80948009908e-05,4.27981702004e-05
gaussian_a00_weighted,32,39.3810244948,-0.445933422577,0.662001681858,0.00424586380592,0.0154632495451,0.00952438032112,0.00126142118617,0.00322791795074,0.0065430077024,-0.00115769237269,-0.00250101198224,0.000648733007114,0.000848038354793,4.74770936651e-06,0.000260348609971,0.000981983895739,0.0005713434289,5.79671732326e-05,0.000140251907796,0.000434603616587,-0.00010346446854,-0.000325174528015,1.19917851756e-05,0.000111508989707,1.2849795705e-05
gaussian_a00_weighted,42,15.5326875439,-0.802691400523,0.62763828036,0.00766239547447,0.0354563036507,0.0207642293453,0.00073997265161,0.00527831031559,0.01302556702,-0.00491754242879,-0.00825213396643,-0.000969800051867,-0.000713768338667,-0.00205991491226,0.000462561327433,0.00224610542407,0.00122760855498,-1.33688808413e-05,0.000159027506767,0.00083001840797,-0.000417969853108,-0.00099488704786,-0.000258964604575,-9.28360112001e-05,-0.00028784705019
gaussian_a00_weighted,52,6.126412033,-1.28541157196,0.563631335536,0.0114068372169,0.0773504828428,0.0427477074735,-0.0031378248749,0.00601240078738,0.0230616721903,-0.0154942464562,-0.0228672810806,-0.0076728199019,-0.00776657422625,-0.00941797901003,0.000668755019928,0.00488405595057,0.00247818764788,-0.000348160827422,-7.72885483245e-05,0.00135747387255,-0.00129027484166,-0.00265224010235,-0.00119870082054,-0.000996337408109,-0.00136214669873
gaussian_a00_weighted,62,2.41638314632,-1.90771602817,0.460409778561,0.0128505842606,0.155916225244,0.0820006059655,-0.0120321997447,0.00165313991618,0.0354337120843,-0.0359471576182,-0.0488050942541,-0.0230545034349,-0.0248878976892,-0.0262468360608,0.000718054998159,0.00979876587555,0.00464272403431,-0.00106233541847,-0.000982271729989,0.00177639902132,-0.00296393740902,-0.00561322446753,-0.00320585744405,-0.00308513084544,-0.00371205594333
gaussian_a00_weighted,72,0.953071304763,-2.63845676123,0.338600316965,0.00569190502591,0.274255076435,0.137857808731,-0.022874777598,-0.0124368797069,0.0448118362857,-0.0619101219784,-0.0774879965643,-0.0475648907319,-0.0536503966783,-0.051508892604,0.000283599218854,0.0170604878029,0.00750744592693,-0.00187528457335,-0.00304787202509,0.00143105107448,-0.00506861428404,-0.00902620525808,-0.00609036126549,-0.00624654767304,-0.00673641154201
gaussian_a00_weighted,82,0.375910961532,-3.31575501057,0.243294923709,-0.0157320483044,0.407263762497,0.194468680752,-0.0283361830992,-0.0319751427294,0.0508929110975,-0.0827636566514,-0.0947284945907,-0.0781791148462,-0.0902502299702,-0.0754273441128,-0.000786153119951,0.0246437661918,0.00966081237338,-0.00207572691748,-0.00618760194984,-0.000250330553868,-0.00673844805423,-0.011296099033,-0.00889495812795,-0.00954086833329,-0.00804818282261
gaussian_a00_weighted,92,0.148267029228,-3.87864879966,0.190852327009,-0.0473561554076,0.525366939076,0.242708960966,-0.027937123578,-0.0385760821512,0.0705641435113,-0.0943539473999,-0.0994335354335,-0.112189824809,-0.128392988651,-0.0951944780891,-0.00181924750332,0.0295910711735,0.00950799788021,-0.00124370161993,-0.00979788737735,-0.00347221311118,-0.00763331264127,-0.0120302540745,-0.0103267040393,-0.0116551827829,-0.00591504011662
gaussian_a00_weighted,100,0.0704388509164,-4.3575387559,0.169522933445,-0.0769047843823,0.609339441374,0.287810603214,-0.0312691627841,-0.0217026938146,0.114565771872,-0.100746783041,-0.101371006765,-0.143286460483,-0.158070638939,-0.115042393017,-0.00180293786926,0.0303997724569,0.00713790109553,0.000138784645279,-0.0131648677283,-0.00788482377552,-0.00779305292102,-0.0119372023346,-0.00965189593199,-0.0115370001991,-0.00193547535467
binomial_a10_flat,2,0.145202370356,-1.08742040784,0.637293857033,0,0.0523908723783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
binomial_a10_flat,12,0.0572708069002,-4.40331758862,0.597190189213,0,0.548676370221,0,0,0,0,0,0,0,0,-0.125369635503,0,0,0,0,0,0,-0.00676301570678,0,0,0,0
binomial_a10_flat,22,0.0225887863605,-8.71256944756,0.519852543189,0.317157118833,1.12013545483,0,0,0,0,0,0,0,0,-0.387924980563,0,0,0,0,-0.0222967484115,0,-0.0291132081622,0,0,0,0
binomial_a10_flat,32,0.00890948280383,-11.6317440849,0.477159211538,0.590294711391,1.41235473359,0,0,0,0,0,0.0334656306074,0,0,-0.532837981204,0,0,0,-0.00622197584989,-0.03769876657,0.0083662661623,-0.0441366126261,0,0,0,0
binomial_a10_flat,42,0.00351408360613,-14.7111867266,0.447462600178,0.716285875557,1.58563639537,0,0,0,0.136864225404,0,0.720638619215,0,0.089599885573,-1.27147705562,0,0,-0.00935568363097,-0.00748116375056,-0.0484815330859,0.0152224132602,-0.0574823842821,-0.0539510759749,-0.00344198208663,0,0.101444835968
binomial_a10_flat,52,0.00138602698527,-33.7075460854,0.408225005311,4.30715590301,1.69777807792,0,0,-0.740869333565,0,0,3.71128782056,0,0.111979616868,-2.52318064075,-0.220427813417,0,-0.0177269381556,0,0,0.0591181473802,-0.0596527047588,-0.336846628455,-0.0100590651755,0,0.267376797019
binomial_a10_flat,62,0.000546677603383,-53.8879280724,0.385135076356,6.70489502793,3.25858104818,0.318542542877,0.866460089319,-1.21739684838,0,-0.580367979499,5.04386786743,0,0.147342248347,-3.53317123109,-0.36391893933,-0.0877961603738,-0.044725245441,-0.0521778243568,0.0319711323362,0.0792376391484,-0.0133127851124,-0.464901429308,-0.0148923445452,0,0.399727950875
binomial_a10_flat,72,0.000215620911582,-61.7554340662,0.370514414989,8.83885810592,4.51872134114,1.04335835278,2.25699789485,-3.13598741912,-2.30592099108,-0.9196459594,4.99556085748,0.952089235389,0.175032275555,-3.97161993207,-0.491938580435,-0.158871702965,-0.0952434530349,-0.142843643854,0.155358066315,0.263195660889,0.0113867077447,-0.466307587023,-0.117370590962,0,0.464281826301
binomial_a10_flat,82,8.50453306005e-05,-66.4929784085,0.363807307991,10.2962612949,5.28669893993,0.955242941251,3.90630941455,-3.92923196501,-3.73483689995,-2.0665574299,5.01423494639,1.66226318167,0.0688751883056,-4.28638799491,-0.579650360206,-0.204241416958,-0.0927442003298,-0.251642756794,0.205860406617,0.375045287494,0.100866574909,-0.46869970266,-0.191485381415,0.0127095534394,0.512914288311
binomial_a10_flat,92,3.35436308281e-05,-68.7515384085,0.361140455617,10.9598811831,5.67089811255,0.922018532018,4.69447357494,-4.31013280079,-4.43988894075,-2.57483108677,5.03288969811,1.97645129687,0.0158686445961,-4.43356056277,-0.619622996712,-0.226545406612,-0.0919981563619,-0.303483311125,0.229826473965,0.429852348644,0.140507527838,-0.470635555954,-0.224427397362,0.0189412820394,0.53566490595
