unit,mean@2021-09-01T00:00:00Z,mean@2021-12-01T00:00:00Z,mean@2022-03-01T00:00:00Z,mean@2022-06-01T00:00:00Z,mean@2021-09-01T00:00:00Z^2,mean@2021-12-01T00:00:00Z^2,mean@2022-03-01T00:00:00Z^2,mean@2022-06-01T00:00:00Z^2,y,w,fold
u060,5.5469827965378604,-4.343828423542214,-4.3944305996169462,5.7308464287272516,30.769018145086982,18.868845373173237,19.311020294849754,32.84260078965589,0,1,0
u061,4.3397279458502656,-6.0518309007547435,-5.9802702912000276,4.3829908541695835,18.833238643993766,36.624657251329971,35.76363275580966,19.210608827734216,0,1,3
u062,4.7221867684480276,-5.3116612737844981,-6.0967380727660725,4.7398387867340253,22.299047876105625,28.213745487421956,37.170215127915363,22.466071724228275,0,1,4
u063,6.1637375931084168,-4.0338461868368309,-3.9654020813730857,6.1102585942680703,37.991661116697941,16.271915059058042,15.724413666958,37.335260088826814,0,1,3
u064,4.7176975471579521,-5.3367450402831356,-5.6092315261876013,4.4504922700777598,22.256670146460159,28.480847624986648,31.463478314376886,19.80688144602189,0,1,3
u065,2.6543494433537398,-7.3126585997321447,-7.733205411602821,2.5319339905163507,7.0455709674323082,53.474975796236492,59.802465938043156,6.4106897323320515,0,1,0
u066,5.1118007597263855,-5.211454778655205,-5.3685673598910464,4.8897280638683274,26.130507007139251,27.159260909968172,28.821515497687521,23.909440538581503,0,1,4
u067,5.3403621734773825,-4.9324847999554704,-4.9846672778695114,5.3551370182530391,28.519468143908075,24.329406301791757,24.846907871063046,28.67749248426405,0,1,1
u068,4.9309676908971998,-5.3710253509164723,-5.9017622132581948,4.3809366996994612,24.314442368672061,28.847913320187413,34.830797221842268,19.192606366773607,0,1,2
u069,5.7848850298314245,-4.6964612649335784,-5.0926639453882521,5.2926800942196008,33.464894808367724,22.056748413021506,25.935226060657438,28.012462579748401,0,1,3
u070,6.3448197478764774,-3.9856984826858883,-3.8601242151384159,6.1956147601446228,40.256737633043329,15.885792394884593,14.900558956297971,38.385642256121912,0,1,4
u071,6.0609267015994082,-4.2611688681184461,-4.2518044774222501,6.0223631526391852,36.734832482160684,18.157560122621838,18.077841314227893,36.268857942266187,0,1,1
u072,4.7513817637786104,-6.0954811994978879,-6.3623096891667572,4.349230705837992,22.57562866516794,37.154891053432209,40.478984580865202,18.915807732604037,0,1,3
u073,5.9068330494259671,-3.858061636881811,-4.0793221536943927,5.8942863602355819,34.890676673790871,14.884639593979159,16.640869233621856,34.742611696459221,0,1,4
u074,4.7984736001155577,-5.2382792635546753,-5.2419376547862502,4.9451080899743411,23.025348891005962,27.43956964298691,27.477910376665971,24.454094021529677,0,1,3
u075,6.8266862332955558,-3.4007392411039472,-3.820571677350169,6.595841936779693,46.603644927867066,11.565027385984251,14.596767941770285,43.505130854981694,0,1,3
u076,5.1543042370373051,-5.3108417338403813,-5.7118773438534012,4.5028210802037902,26.566852167940716,28.205039921900706,32.625542791225783,20.275397680327629,0,1,0
u077,3.9199836875618899,-6.3673287455978409,-6.0569782053372236,3.9247877574871297,15.366272110751312,40.542875354516575,36.686984979930138,15.403958941320852,0,1,2
u078,5.9900480675985079,-3.6983314568446763,-3.7452915333027179,6.3251414141347615,35.880675852140619,13.677655564686866,14.027208669429024,40.00741390880269,0,1,2
u079,4.4622732758353871,-6.0064524749035151,-5.9494189531045363,3.9341166373817571,19.911882788234678,36.077471333274559,35.395585879559476,15.477273716523944,0,1,1
u080,4.4109314461027385,-5.9486681142828486,-5.8693464726886697,4.0187482211948273,19.456316222217996,35.386652333885465,34.449228016462932,16.15033726535659,0,1,2
u081,3.7052439643534192,-6.4037247065529082,-6.2914846872414598,4.0294855252620625,13.728832835377442,41.00769011731613,39.582779569793772,16.236753598296481,0,1,0
u082,4.9483006911182068,-4.7895685219832069,-5.1155704858494024,4.7214428706875164,24.485679729720925,22.939966626772403,26.16906139569349,22.292022781165976,1,12.714285714285714,1
u083,4.8135745056687478,-5.7209603415566628,-5.6275725387215489,4.4347394535873113,23.17049952162413,32.729387229664127,31.669572678572898,19.666914021203883,0,1,4
u084,4.0400960888691193,-6.2757392698911847,-6.1963314585488103,3.6608809069009043,16.322376407295554,39.38490338365434,38.394523544201625,13.402049014511588,0,1,0
u085,5.9078511350919802,-4.4234203628310764,-4.2925514627653341,5.5805280410309557,34.902705034407596,19.566647706308611,18.425998060488809,31.142293216732796,0,1,4
u086,5.2786342193155082,-5.0903761329246739,-5.0918483222734627,4.8820725289222571,27.863979221328645,25.911929174649156,25.926919337039077,23.834632177657362,0,1,3
u087,6.4833826947171751,-3.9554518439727611,-3.9139515411400607,6.1566938983180313,42.034251166158136,15.645599289987516,15.319016666392656,37.904879757586478,1,12.714285714285714,1
u088,5.7789853084124534,-4.7393954560232467,-4.6982409642322986,5.3783654632032389,33.396671194846981,22.461869288573798,22.07346815799044,28.926815055777389,0,1,1
u089,5.2773122672760984,-5.2809024862830398,-5.4986602667840021,4.7963144737831334,27.850024766342795,27.88793106963039,30.235264729509112,23.004632531421574,0,1,3
u090,5.6487986546764093,-5.0088361678471074,-5.3296674325485007,5.2473390405641887,31.90892624107401,25.088439756333297,28.405354941568127,27.5345670066291,0,1,0
u091,4.307252636574125,-5.760369724921067,-6.1683466886591409,4.215203575583665,18.55242527527475,33.181859367787212,38.048500871492188,17.767941183613313,0,1,2
u092,3.1832569569245854,-7.292525196515161,-7.3825632177349467,3.3658182274270607,10.133124853808772,53.180923741808485,54.502239663852968,11.328732340080242,0,1,2
u093,4.8981915473601374,-5.5551810147519172,-5.2624430411771543,4.9958647204913671,23.992280434630295,30.860036106660139,27.693306761633856,24.958664305450284,0,1,1
u094,4.4908987733977943,-5.5971015695268429,-5.8773043863353083,4.8700945652436261,20.168171792905813,31.327545979599847,34.542706849636254,23.717821074415504,0,1,2
u095,6.7797839937032194,-4.1102657613646532,-3.9175894272913045,6.201904626246999,45.965471001274373,16.894284629046552,15.347506920824612,38.463620993063927,0,1,0
u096,5.84524820096612,-4.2414282310760409,-4.392020691074352,5.71477838392848,34.166926530897662,17.989713439368835,19.289845750825229,32.658691977416211,0,1,1
